Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,Cost ($),Discounts ($),Promotions and others ($),Unrounded subtotal ($),Subtotal ($)
Cloud SQL,9662-B51E-5089,Cloud SQL for MySQL: Regional - vCPU in Singapore,F61D-C80B-8895,8.769,hour,1.01,0.00,-1.01,0.000000,0.00
Cloud SQL,9662-B51E-5089,Cloud SQL: Backups in Jakarta,F973-CB31-8161,0.002,gibibyte month,0.00,0.00,-0.00,0.000000,0.00
Networking,E505-1604-58F8,Network Intelligence Center Network Analyzer Resource Hours,9BF8-CD36-F9B8,23,count,0.03,-0.03,0.00,0.000000,0.00
Networking,E505-1604-58F8,Network Intelligence Center Internet to Google Cloud Performance Resource Hours,BDBA-22FA-3925,23,count,0.02,-0.02,0.00,0.000000,0.00
Networking,E505-1604-58F8,Network Intelligence Center Connectivity Tests Runs,C985-127E-325E,2,count,0.00,0.00,0.00,0.000000,0.00
Networking,E505-1604-58F8,Network Intelligence Center Topology and Google Cloud Performance Resource Hours,D9AD-28F8-05D8,23,count,0.03,-0.03,0.00,0.000000,0.00
Compute Engine,6F81-5844-456A,Network Internet Egress from Singapore to Americas,2DF7-CD55-4181,0.002,gibibyte,0.00,0.00,-0.00,-0.000001,-0.00
Compute Engine,6F81-5844-456A,Network Internet Egress from Singapore to APAC,36ED-8A88-4748,0.003,gibibyte,0.00,0.00,-0.00,-0.000003,-0.00
,,,,,,,,Subtotal,0.000000,0.00
,,,,,,,,Filtered total,0.000000,0.00
